NO.  MBR                      Number    ptr       
0    16.00 12.00 18.00 15.00  4         004A0BD8  
1    13.00 14.00 15.00 14.00  3         004A0BE8  
2    11.00 12.00 11.00 16.00  2         004A0BF8  
3    13.00 15.00 13.00 19.00  2         004A0C08  
4    9.00 17.00 11.00 19.00   4         004A0C18  
5    7.00 18.00 9.00 19.00    3         004A0C28  
6    17.00 18.00 17.00 19.00  2         004A0C38  
7    18.00 18.00 19.00 18.00  3         004A0C48  
8    13.00 4.00 13.00 8.00    3         004A0C58  
9    10.00 2.00 13.00 4.00    4         004A0C68  
10   15.00 6.00 17.00 7.00    3         004A0C78  
11   11.00 8.00 13.00 8.00    3         004A0C88  
12   10.00 9.00 10.00 10.00   4         004A0C98  
13   14.00 0.00 15.00 2.00    4         004A0CA8  
14   16.00 0.00 18.00 2.00    3         004A0CB8  
15   7.00 6.00 8.00 7.00      3         004A0CC8  
16   5.00 4.00 7.00 5.00      3         004A0CD8  
17   1.00 7.00 1.00 8.00      3         004A0CE8  
18   0.00 1.00 3.00 2.00      2         004A0CF8  
19   1.00 4.00 2.00 6.00      4         004A0D08  
20   4.00 8.00 5.00 10.00     3         004A0D18  
21   6.00 10.00 6.00 10.00    3         004A0D28  
22   0.00 8.00 2.00 11.00     3         004A0D38  
23   6.00 1.00 9.00 3.00      4         004A0D48  
24   9.00 3.00 9.00 4.00      2         004A0D58  
25   8.00 3.00 8.00 4.00      3         004A0D68  
26   7.00 11.00 9.00 13.00    3         004A0D78  
27   6.00 16.00 7.00 17.00    3         004A0D88  
28   2.00 12.00 4.00 15.00    4         004A0D98  
29   1.00 11.00 3.00 11.00    3         004A0DA8  
30   1.00 13.00 2.00 14.00    2         004A0DB8  
31   1.00 16.00 2.00 17.00    3         004A0DC8  
32   4.00 17.00 4.00 19.00    2         004A0DD8  
